upper,effects,lower,ate,z_values
0.010422958622630395,-0.04541915574310574,-0.10126127010884187,0.0,0.0
0.2551870105351472,0.15910355314987012,0.06302009576459305,0.0,1.0
0.09606428478257016,0.03248062603470382,-0.031103032713162518,0.0,2.0
0.026245863111538294,-0.025357704479116186,-0.07696127206977066,0.0,3.0
0.06756637049033112,0.01274434788364825,-0.04207767472303462,0.0,4.0
0.007126193522586463,-0.08934366121393422,-0.18581351595045492,0.0,5.0
0.10567918939869966,0.033548341204555424,-0.038582506989588816,0.0,6.0
0.013120409852205098,-0.0731234409441386,-0.1593672917404823,0.0,7.0
0.06697471470795577,0.004754136535808293,-0.05746644163633918,0.0,8.0
-0.002313240694666041,-0.07676980515729304,-0.15122636961992003,0.0,9.0
